,date,address,price,changes,saleable_area(ft^2),unit_rate,district,Tower,Flat,Phase,Block,Rental,Public Housing,floor
156,3/3/2023,"Whampoa Garden, Phase 12 Bamboo Mansions, Block 5, Lower Floor, Flat H",9700000,--,729,13306,Kowloon Kowloon City District,,H,12,5,FALSE,FALSE,7
157,3/3/2023,"Hampton Place, Tower 3, Lower Floor, Flat C",8380000,--,446,18789,Kowloon Kowloon City District,3,C,,,FALSE,FALSE,7
158,3/3/2023,"Wong Teck Building, 2/F, Flat C",4590000,--,368,12476,Kowloon Kowloon City District,,C,,,FALSE,FALSE,2
159,3/3/2023,"Wong Teck Building, 2/F, Flat K",3660000,--,294,12446,Kowloon Kowloon City District,,K,,,FALSE,FALSE,2
160,3/3/2023,"Harbour Place, Tower 3, 7/F, Flat F",7780000,-3%,432,18009,Kowloon Kowloon City District,3,F,,,FALSE,FALSE,7
161,3/3/2023,"Lei Tung Estate, Tung Yat House, 27/F, Flat 24",2820000,--,381,7402,Kowloon Kowloon City District,,24,,,FALSE,TRUE,27
162,3/3/2023,"Lei Tung Estate, Tung Ping House, 33/F, Flat 9",2880000,--,381,7559,Kowloon Kowloon City District,,9,,,FALSE,TRUE,33
163,3/3/2023,"One Elegance, 10/F, Flat A",6050000,39%,453,13355,Kowloon Kowloon City District,,A,,,FALSE,FALSE,10
164,3/3/2023,"One Victoria, Tower 2B, 15/F, Flat A",16460000,--,656,25096,Kowloon Kowloon City District,2,A,,,FALSE,FALSE,15
166,3/3/2023,"Kai Wan Building, 16/F, Flat B",3780000,--,228,16579,Kowloon Kowloon City District,,B,,,FALSE,FALSE,16
167,3/3/2023,"Ultima, Phase 2, Tower 1, 16/F, Flat A",85720000,--,"1,910",44880,Kowloon Kowloon City District,1,A,2,,FALSE,FALSE,16
168,3/3/2023,"K Summit, Tower 1A, 1/F, Flat B",9400000,-5%,443,21219,Kowloon Kowloon City District,1,B,,,FALSE,FALSE,1
169,3/3/2023,"Charming Garden, Block 12, 20/F, Flat F",4800000,--,484,9917,Kowloon Kowloon City District,,F,,12,FALSE,FALSE,20
170,3/3/2023,"Sham Wan Towers, Block 3, 46/F, Flat E",9200000,36%,515,17864,Kowloon Kowloon City District,,E,,3,FALSE,FALSE,46
171,3/3/2023,"37 Repulse Bay Road, Tower 2, 16/F, Flat A",52000000,99%,"1,199",43369,Kowloon Kowloon City District,2,A,,,FALSE,FALSE,16
172,3/3/2023,"Newish Mansion, 8/F, Flat A",4800000,--,360,13333,Kowloon Kowloon City District,,A,,,FALSE,FALSE,8
173,3/3/2023,"29A-29B Nga Tsin Wai Road, 5/F, No. 29A (Flat A)",6370000,33%,531,11996,Kowloon Kowloon City District,,A,,,FALSE,FALSE,5
174,3/3/2023,"Classic Mansion, 21/F, Flat A",5300000,190%,325,16308,Kowloon Kowloon City District,,A,,,FALSE,FALSE,21
175,3/3/2023,"Charming Garden, Block 12, 23/F, Flat A",6180000,--,592,10439,Kowloon Kowloon City District,,A,,12,FALSE,FALSE,23
176,3/3/2023,"Island Harbourview, Tower 3, 25/F, Flat A",13050000,208%,698,18696,Kowloon Kowloon City District,3,A,,,FALSE,FALSE,25
177,3/3/2023,"The Southside, Phase 1 Southland, Tower 2 (2B), 10/F, Flat C",21530000,--,639,33689,Kowloon Kowloon City District,2,C,1,,FALSE,FALSE,10
178,3/3/2023,"Kai Long Court, Block B, 10/F, Flat 8",3850000,--,287,13415,Kowloon Kowloon City District,,8,,B,FALSE,FALSE,10
179,3/3/2023,"Park Avenue, Phase 1, Tower 7, 50/F, Flat B",18900000,-4%,864,21875,Kowloon Kowloon City District,7,B,1,,FALSE,FALSE,50
180,3/3/2023,"Prosperous Garden, Block 1, 16/F, Flat A",8600000,--,606,14191,Kowloon Kowloon City District,,A,,1,FALSE,FALSE,16
181,3/3/2023,"Chun Yee Building, 12/F, Flat D (No. 733 Rear)",4550000,--,553,8228,Kowloon Kowloon City District,,D,,,FALSE,FALSE,12
182,3/3/2023,"H Bonaire, 26/F, Flat C",9180000,-6%,450,20400,Kowloon Kowloon City District,,C,,,FALSE,FALSE,26
183,3/3/2023,"Whampoa Garden, Phase 5 Oak Mansions, Block 8, 16/F, Flat E",6570000,64%,503,13058,Kowloon Kowloon City District,,E,5,8,FALSE,FALSE,16
184,3/3/2023,"Artisan Garden, 27/F, Flat B8",5400000,9%,283,19081,Kowloon Kowloon City District,,B,,,FALSE,FALSE,27
185,3/3/2023,"Winston Mansion, 14/F, Flat C",6250000,--,612,10212,Kowloon Kowloon City District,,C,,,FALSE,FALSE,14
186,3/3/2023,"Sunshine Building, 13/F, Flat C",5350000,49%,429,12471,Kowloon Kowloon City District,,C,,,FALSE,FALSE,13
187,3/3/2023,"Metro Harbour View, Phase 2, Tower 10, 12/F, Flat H",5750000,145%,347,16571,Kowloon Kowloon City District,10,H,2,,FALSE,FALSE,12
188,3/3/2023,"Comfort Centre, 22/F, Flat D",6000000,89%,375,16000,Kowloon Kowloon City District,,D,,,FALSE,FALSE,22
189,3/3/2023,"Laguna Verde, Phase 1 Green Wood, Tower 2, 7/F, Flat H",15000000,117%,"1,100",13636,Kowloon Kowloon City District,2,H,1,,FALSE,FALSE,7
190,3/3/2023,"Metro Harbour View, Phase 2, Tower 10, 9/F, Flat A",5720000,165%,390,14667,Kowloon Kowloon City District,10,A,2,,FALSE,FALSE,9
191,3/3/2023,"Pano Harbour, Tower 8, 26/F, Flat A",53130000,--,"1,523",34882,Kowloon Kowloon City District,8,A,,,FALSE,FALSE,26
192,3/3/2023,"Pano Harbour, Tower 8, 10/F, Flat B",43170000,--,"1,185",36433,Kowloon Kowloon City District,8,B,,,FALSE,FALSE,10
193,3/3/2023,"Pano Harbour, Tower 8, 11/F, Flat B",40390000,--,"1,185",34084,Kowloon Kowloon City District,8,B,,,FALSE,FALSE,11
194,3/3/2023,"Pano Harbour, Tower 8, 12/F, Flat B",43370000,--,"1,185",36596,Kowloon Kowloon City District,8,B,,,FALSE,FALSE,12
195,3/3/2023,"Broadview Court, Block 1, 5/F, Flat G",6750000,--,576,11719,Kowloon Kowloon City District,,G,,1,FALSE,FALSE,5
196,3/3/2023,"Broadview Court, Block 3, 39/F, Flat K",6280000,--,591,10626,Kowloon Kowloon City District,,K,,3,FALSE,FALSE,39
197,3/3/2023,"Grand Waterfront, Tower 3, 47/F, Flat F",12000000,58%,805,14907,Kowloon Kowloon City District,3,F,,,FALSE,FALSE,47
198,3/3/2023,"Harbour Green, Tower 1, 25/F, Flat C",10500000,76%,516,20349,Kowloon Kowloon City District,1,C,,,FALSE,FALSE,25
199,3/3/2023,"The Quinn  Square Mile, Tower 2, 19/F, Flat H",6090000,--,265,22965,Kowloon Kowloon City District,2,H,,,FALSE,FALSE,19
200,3/3/2023,"Laguna Verde, Phase 3 Costa Del Sol, Tower 12A, 3/F, Flat E",13350000,125%,899,14850,Kowloon Kowloon City District,12,E,3,,FALSE,FALSE,3
201,3/3/2023,"The Quinn  Square Mile, Tower 2, 23/F, Flat H",6330000,--,265,23897,Kowloon Kowloon City District,2,H,,,FALSE,FALSE,23
202,3/3/2023,"The Quinn  Square Mile, Tower 2, 22/F, Flat H",6300000,--,265,23787,Kowloon Kowloon City District,2,H,,,FALSE,FALSE,22
203,3/3/2023,"Cascades, Block 2, 3/F, Flat A",6320000,--,467,13533,Kowloon Kowloon City District,,A,,2,FALSE,FALSE,3
204,3/3/2023,"Westland Heights, 5/F, Flat E",8500000,190%,640,13281,Kowloon Kowloon City District,,E,,,FALSE,FALSE,5
205,3/3/2023,"Metro Harbour View, Phase 2, Tower 7, 26/F, Flat D",6370000,208%,367,17351,Kowloon Kowloon City District,7,D,2,,FALSE,FALSE,26
206,3/3/2023,"The Metropolis Residence, Tower 1, 26/F, Flat 20",9300000,266%,464,20043,Kowloon Kowloon City District,1,20,,,FALSE,FALSE,26
207,3/3/2023,"The Quinn  Square Mile, Tower 2, 12/F, Flat K",8790000,--,382,23019,Kowloon Kowloon City District,2,K,,,FALSE,FALSE,12
208,2/3/2023,"The Henley, Phase 3 The Henley III, Tower 3A, Lower Floor, Flat F",13800,--,229,60,Kowloon Kowloon City District,3,F,3,,TRUE,FALSE,7
209,2/3/2023,"Mantin Heights, Tower 5, Lower Floor, Flat C",11000000,--,587,18739,Kowloon Kowloon City District,5,C,,,FALSE,FALSE,7
210,2/3/2023,"The Victoria Towers, Tower 3, Lower Floor, Flat A",9450000,--,457,20678,Kowloon Kowloon City District,3,A,,,FALSE,FALSE,7
211,2/3/2023,"Regalia Bay, Phase 2",68000000,--,"2,781",24452,Kowloon Kowloon City District,,,2,,FALSE,FALSE,14.5
212,2/3/2023,"Merry Court, Phase 2, Upper Floor, Flat 2H",17500,--,545,32,Kowloon Kowloon City District,,2,2,,TRUE,FALSE,22
213,2/3/2023,"Monaco, Phase 1, Tower 2A, Lower Floor, Flat F",15000,--,354,42,Kowloon Kowloon City District,2,F,1,,TRUE,FALSE,7
214,2/3/2023,"K Summit, Tower 2A, Middle Floor, Flat F",15000,--,325,46,Kowloon Kowloon City District,2,F,,,TRUE,FALSE,13
215,2/3/2023,"Eltanin Square Mile, Tower 2, Lower Floor, Flat F",10500,--,198,53,Kowloon Kowloon City District,2,F,,,TRUE,FALSE,7
216,2/3/2023,"City Hub, Middle Floor, Flat J",16000,--,368,43,Kowloon Kowloon City District,,J,,,TRUE,FALSE,13
217,2/3/2023,"Sorrento, Phase 1, Block 5, 20/F, Flat G",18600000,269%,772,24093,Kowloon Kowloon City District,,G,1,5,FALSE,FALSE,20
218,2/3/2023,"The Quinn  Square Mile, Tower 2, 16/F, Flat H",6070000,--,265,22895,Kowloon Kowloon City District,2,H,,,FALSE,FALSE,16
219,2/3/2023,"Lei Tung Estate, Tung Cheong House, 7/F, Flat 14",2750000,--,381,7218,Kowloon Kowloon City District,,14,,,FALSE,TRUE,7
220,2/3/2023,"On Ning Building, 8/F, Flat B",3580000,-9%,249,14378,Kowloon Kowloon City District,,B,,,FALSE,FALSE,8
221,2/3/2023,"Wing Fai Building, 7/F, Flat B",5000000,203%,552,9058,Kowloon Kowloon City District,,B,,,FALSE,FALSE,7
223,2/3/2023,"Whampoa Garden, Phase 7 Cotton Tree Mansions, Block 4, 12/F, Flat A",11300000,7%,763,14810,Kowloon Kowloon City District,,A,7,4,FALSE,FALSE,12
225,2/3/2023,"Whampoa Estate, Yuen Kwai Building (Block B), 5/F, Flat 8",5600000,--,442,12670,Kowloon Kowloon City District,,8,,B,FALSE,FALSE,5
226,2/3/2023,"Hill Main Mansion, 8/F, Flat E",3250000,13%,480,6771,Kowloon Kowloon City District,,E,,,FALSE,FALSE,8
227,2/3/2023,"Faerie Court, 19/F, Flat E",3700000,509%,252,14683,Kowloon Kowloon City District,,E,,,FALSE,FALSE,19
229,2/3/2023,"Whampoa Garden, Phase 9 Lily Mansions, Block 5, 5/F, Flat E",12880000,46%,829,15537,Kowloon Kowloon City District,,E,9,5,FALSE,FALSE,5
230,2/3/2023,"No. 8 Waterloo Road, Block 1, 36/F, Flat G",12300000,134%,581,21170,Kowloon Kowloon City District,,G,,1,FALSE,FALSE,36
231,2/3/2023,"Larvotto, Tower 6, 37/F, Flat B",27100000,12%,"1,172",23123,Kowloon Kowloon City District,6,B,,,FALSE,FALSE,37
233,2/3/2023,"Sham Wan Towers, Block 1, 19/F, Flat C",10380000,179%,581,17866,Kowloon Kowloon City District,,C,,1,FALSE,FALSE,19
234,2/3/2023,"Sunshine Plaza, Block 3, 17/F, Flat F",5780000,1%,384,15052,Kowloon Kowloon City District,,F,,3,FALSE,FALSE,17
235,2/3/2023,"Victoria Skye, Ocean Waves Tower 3, 3/F, Flat F",8200000,18%,438,18721,Kowloon Kowloon City District,3,F,,,FALSE,FALSE,3
236,2/3/2023,"The Zumurud, Tower 2, 6/F, Flat A",29500000,-20%,"1,624",18165,Kowloon Kowloon City District,2,A,,,FALSE,FALSE,6
237,2/3/2023,"Monaco One, Phase 2 Monaco Marine, Tower 1B, 25/F, Flat E",11350000,--,449,25274,Kowloon Kowloon City District,1,E,2,,FALSE,FALSE,25
238,2/3/2023,"Wah Tak Building, 16/F, Flat 9B",1970000,--,189,10423,Kowloon Kowloon City District,,9,,,FALSE,FALSE,16
239,2/3/2023,"Metro Harbour View, Phase 1, Tower 2, 42/F, Flat D",6350000,--,344,18459,Kowloon Kowloon City District,2,D,1,,FALSE,FALSE,42
240,2/3/2023,"Celestial Heights, Phase 2, 19 Celestial Avenue, 57/F, No. 19",31000000,15%,"1,567",19783,Kowloon Kowloon City District,,,2,,FALSE,FALSE,57
241,2/3/2023,"Grand Waterfront, Tower 6, 39/F, Flat E",12300000,104%,618,19903,Kowloon Kowloon City District,6,E,,,FALSE,FALSE,39
242,2/3/2023,"South Horizons, Phase 2, Yee Wan Court (Block 15), 29/F, Flat E",16100000,--,863,18656,Kowloon Kowloon City District,,E,2,15,FALSE,FALSE,29
243,2/3/2023,"The Quinn  Square Mile, Tower 1, 10/F, Flat A",9910000,--,447,22167,Kowloon Kowloon City District,1,A,,,FALSE,FALSE,10
244,2/3/2023,"The Quinn  Square Mile, Tower 2, 12/F, Flat H",6100000,--,265,23035,Kowloon Kowloon City District,2,H,,,FALSE,FALSE,12
245,2/3/2023,"The Quinn  Square Mile, Tower 2, 7/F, Flat N",5870000,--,259,22661,Kowloon Kowloon City District,2,N,,,FALSE,FALSE,7
248,2/3/2023,"One Kai Tak, II, Tower 5, 18/F, Flat C",7430000,14%,375,19813,Kowloon Kowloon City District,5,C,,,FALSE,FALSE,18
249,2/3/2023,"The Waterfront, Phase 2, Tower 7, 27/F, Flat C",15000000,23%,630,23810,Kowloon Kowloon City District,7,C,2,,FALSE,FALSE,27
250,2/3/2023,"Friends' House, Block A, 2/F, Flat A1",6000000,-3%,607,9885,Kowloon Kowloon City District,,A,,A,FALSE,FALSE,2
251,2/3/2023,"Whampoa Garden, Phase 7 Cotton Tree Mansions, Block 3, 16/F, Flat A",8150000,17%,663,12293,Kowloon Kowloon City District,,A,7,3,FALSE,FALSE,16
252,2/3/2023,"King's Park Villa, Block 1, 16/F, Flat C",17100000,35%,948,18038,Kowloon Kowloon City District,,C,,1,FALSE,FALSE,16
253,2/3/2023,"The Quinn  Square Mile, Tower 2, 18/F, Flat H",6190000,--,265,23358,Kowloon Kowloon City District,2,H,,,FALSE,FALSE,18
254,2/3/2023,"Jubilant Place, Tower 5, 4/F, Flat C",10380000,--,839,12372,Kowloon Kowloon City District,5,C,,,FALSE,FALSE,4
255,2/3/2023,"Grandview Garden, Block B, 15/F, Flat C",5300000,159%,354,14972,Kowloon Kowloon City District,,C,,B,FALSE,FALSE,15
256,2/3/2023,"Man Wah Building, 4/F, Flat 11(No.13)",5430000,5%,565,9611,Kowloon Kowloon City District,,11,,,FALSE,FALSE,4
257,2/3/2023,"Pano Harbour, Tower 1, 8/F, Flat A",84560000,--,"2,088",40500,Kowloon Kowloon City District,1,A,,,FALSE,FALSE,8
258,2/3/2023,"Pano Harbour, Tower 1, 8/F, Flat B",71430000,--,"1,870",38200,Kowloon Kowloon City District,1,B,,,FALSE,FALSE,8
259,2/3/2023,"The Arch, Moon Tower (Block 2A), 8/F, Flat E",11500000,169%,395,29114,Kowloon Kowloon City District,,E,,2,FALSE,FALSE,8
260,2/3/2023,"Hampton Place, Tower 2, 27/F, Flat C",7080000,128%,426,16620,Kowloon Kowloon City District,2,C,,,FALSE,FALSE,27
261,2/3/2023,"Harbour Place, Tower 6, 10/F, Flat C",9480000,8%,590,16068,Kowloon Kowloon City District,6,C,,,FALSE,FALSE,10
262,1/3/2023,"Larvotto, Tower 6, Middle Floor, Flat B",54000,--,"1,172",46,Kowloon Kowloon City District,6,B,,,TRUE,FALSE,13
263,1/3/2023,"Aberdeen Centre, Kong Wing Court (Block I), Lower Floor, Flat 3",15000,--,448,33,Kowloon Kowloon City District,,3,,I,TRUE,FALSE,7
264,1/3/2023,"Chi Fu Fa Yuen, Fu Yi Yuen (Block H-7), Upper Floor, Flat A",15000,--,439,34,Kowloon Kowloon City District,,A,,H,TRUE,FALSE,22
265,1/3/2023,"Chi Fu Fa Yuen, Fu Chun Yuen (Block H-14), Lower Floor, Flat B",17500,--,588,30,Kowloon Kowloon City District,,B,,H,TRUE,FALSE,7
266,1/3/2023,"Chi Fu Fa Yuen, Fu Cheong Yuen (Block H-16), Middle Floor, Flat E",13000,--,439,30,Kowloon Kowloon City District,,E,,H,TRUE,FALSE,13
267,1/3/2023,"Chi Fu Fa Yuen, Fu Wing Yuen (Block H-19), Lower Floor, Flat E",14500,--,439,33,Kowloon Kowloon City District,,E,,H,TRUE,FALSE,7
268,1/3/2023,"Chi Fu Fa Yuen, Fu Chak Yuen (Block H-18), Middle Floor, Flat D",14600,--,439,33,Kowloon Kowloon City District,,D,,H,TRUE,FALSE,13
269,1/3/2023,"Chi Fu Fa Yuen, Fu Yar Yuen (Block H-12), Middle Floor, Flat B",20000,--,588,34,Kowloon Kowloon City District,,B,,H,TRUE,FALSE,13
270,1/3/2023,"One Homantin, Tower 3, Upper Floor, Flat F",20000,--,491,41,Kowloon Kowloon City District,3,F,,,TRUE,FALSE,22
271,1/3/2023,"Vibe Centro, Tower 2B, Lower Floor, Flat D",15200,--,306,50,Kowloon Kowloon City District,2,D,,,TRUE,FALSE,7
272,1/3/2023,"The Southside, Phase 1 Southland, Tower 1 (1B), Lower Floor, Flat C",22000,--,475,46,Kowloon Kowloon City District,1,C,1,,TRUE,FALSE,7
273,1/3/2023,"Larvotto, Tower 1, Upper Floor, Flat B",81000,--,"1,795",45,Kowloon Kowloon City District,1,B,,,TRUE,FALSE,22
274,1/3/2023,"Monaco, Phase 1, Tower 2B, Upper Floor, Flat D",20000,--,437,46,Kowloon Kowloon City District,2,D,1,,TRUE,FALSE,22
275,1/3/2023,"One Homantin, Tower 7, Upper Floor, Flat B",17350000,--,736,23573,Kowloon Kowloon City District,7,B,,,FALSE,FALSE,22
276,1/3/2023,"Sorrento, Phase 1, Block 5, Middle Floor, Flat A",28000,--,620,45,Kowloon Kowloon City District,,A,1,5,TRUE,FALSE,13
277,1/3/2023,"Carmen's Garden, Tower 1, Upper Floor, Flat B",43000,--,"1,057",41,Kowloon Kowloon City District,1,B,,,TRUE,FALSE,22
278,1/3/2023,"St. George Apartments, Upper Floor, Flat D",78000,--,"1,976",39,Kowloon Kowloon City District,,D,,,TRUE,FALSE,22
279,1/3/2023,"Ultima, Phase 1, Tower 6, Middle Floor, Flat B",47000,--,952,49,Kowloon Kowloon City District,6,B,1,,TRUE,FALSE,13
280,1/3/2023,"One Beacon Hill, Phase 2, Tower 5, Middle Floor, Flat A",24680000,--,"1,008",24484,Kowloon Kowloon City District,5,A,2,,FALSE,FALSE,13
281,1/3/2023,"One Silversea, Tower 1, Middle Floor, Flat B",50000,--,"1,206",41,Kowloon Kowloon City District,1,B,,,TRUE,FALSE,13
282,1/3/2023,"Baguio Villa, Block 23, Upper Floor, Flat A",32000,--,906,35,Kowloon Kowloon City District,,A,,23,TRUE,FALSE,22
283,1/3/2023,"South Walk Aura, Lower Floor, Flat B",9800,--,193,51,Kowloon Kowloon City District,,B,,,TRUE,FALSE,7
284,1/3/2023,"Padek Palace, Lower Floor, Flat D",26000,--,675,39,Kowloon Kowloon City District,,D,,,TRUE,FALSE,7
285,1/3/2023,"The Redhill Peninsula, Site D",101800000,--,"3,013",33787,Kowloon Kowloon City District,,,,,FALSE,FALSE,7
286,1/3/2023,"Island Harbourview, Tower 1, Lower Floor, Flat C",25500,--,647,39,Kowloon Kowloon City District,1,C,,,TRUE,FALSE,7
287,1/3/2023,"Island Harbourview, Tower 9, Upper Floor, Flat F",19500,--,460,42,Kowloon Kowloon City District,9,F,,,TRUE,FALSE,22
288,1/3/2023,"Park Avenue, Central Park, Tower 3, Middle Floor, Flat E",26500,--,592,45,Kowloon Kowloon City District,3,E,,,TRUE,FALSE,13
289,1/3/2023,"One Victoria, Tower 1A, Middle Floor, Flat A",16500,--,643,26,Kowloon Kowloon City District,1,A,,,TRUE,FALSE,13
290,1/3/2023,"Harbour Place, Tower 2, Middle Floor, Flat A",17700,--,432,41,Kowloon Kowloon City District,2,A,,,TRUE,FALSE,13
291,1/3/2023,"Aquila.Square Mile, Tower 1, Lower Floor, Flat E",14500,--,235,62,Kowloon Kowloon City District,1,E,,,TRUE,FALSE,7
292,1/3/2023,"King's Park Villa, Block 7, Lower Floor, Flat C",38000,--,948,40,Kowloon Kowloon City District,,C,,7,TRUE,FALSE,7
294,1/3/2023,"The Austin, Tower 5, Upper Floor, Flat C",38000,--,634,60,Kowloon Kowloon City District,5,C,,,TRUE,FALSE,22
295,1/3/2023,"The Long Beach, Tower 5, Middle Floor, Flat E",23000,--,560,41,Kowloon Kowloon City District,5,E,,,TRUE,FALSE,13
296,1/3/2023,"The Long Beach, Tower 2, Upper Floor, Flat C",32500,--,823,39,Kowloon Kowloon City District,2,C,,,TRUE,FALSE,22
297,1/3/2023,"Monaco, Phase 1, Tower 2A, Middle Floor, Flat F",16000,--,354,45,Kowloon Kowloon City District,2,F,1,,TRUE,FALSE,13
298,1/3/2023,"One Victoria, Tower 2B, Lower Floor, Flat J",14000,--,451,31,Kowloon Kowloon City District,2,J,,,TRUE,FALSE,7
299,1/3/2023,"Metro Harbour View, Phase 1, Tower 4, Middle Floor, Flat F",18500,--,540,34,Kowloon Kowloon City District,4,F,1,,TRUE,FALSE,13
300,1/3/2023,"Upper Riverbank, Tower 2, Middle Floor, Flat D",21000,--,557,38,Kowloon Kowloon City District,2,D,,,TRUE,FALSE,13
301,1/3/2023,"Eltanin Square Mile, Tower 2, Lower Floor, Flat J",13300,--,249,53,Kowloon Kowloon City District,2,J,,,TRUE,FALSE,7
302,1/3/2023,"Lung Cheung Building, Middle Floor, Flat C",19000,--,715,27,Kowloon Kowloon City District,,C,,,TRUE,FALSE,13
303,1/3/2023,"Monaco, Phase 1, Tower 2B, Lower Floor, Flat G",17000,--,441,39,Kowloon Kowloon City District,2,G,1,,TRUE,FALSE,7
304,1/3/2023,"The Austin, Tower 2A, Middle Floor, Flat B",29500,--,651,45,Kowloon Kowloon City District,2,B,,,TRUE,FALSE,13
305,1/3/2023,"The Austin, Tower 1, Lower Floor, Flat E",20000,--,360,56,Kowloon Kowloon City District,1,E,,,TRUE,FALSE,7
306,1/3/2023,"Vibe Centro, Tower 5, Lower Floor, Flat C7",49000,--,"1,119",44,Kowloon Kowloon City District,5,C,,,TRUE,FALSE,7
307,1/3/2023,"Genius Court, Lower Floor, Flat D",15800,--,316,50,Kowloon Kowloon City District,,D,,,TRUE,FALSE,7
308,1/3/2023,"The Bloomsville, Upper Floor, Flat A",36000,--,774,47,Kowloon Kowloon City District,,A,,,TRUE,FALSE,22
309,1/3/2023,"Parc Palais, Tower 1, Lower Floor, Flat B",42000,--,"1,074",39,Kowloon Kowloon City District,1,B,,,TRUE,FALSE,7
310,1/3/2023,"The Henley, Phase 1, Condominium A, Middle Floor, Flat C",16200,--,321,50,Kowloon Kowloon City District,,C,1,,TRUE,FALSE,13
311,1/3/2023,"Chermain Heights, Block C, Middle Floor, Flat C3",30000,--,803,37,Kowloon Kowloon City District,,C,,C,TRUE,FALSE,13
312,1/3/2023,"Pokfulam Gardens, Block 5, Upper Floor, Flat F",17800,--,456,39,Kowloon Kowloon City District,,F,,5,TRUE,FALSE,22
313,1/3/2023,"South Horizons, Phase 3, Mei Hin Court (Block 23), Middle Floor, Flat D",15000,--,584,26,Kowloon Kowloon City District,,D,3,23,TRUE,FALSE,13
314,1/3/2023,"Laguna Verde, Phase 3 Costa Del Sol, Tower 15A, Lower Floor, Flat D",38000,--,"1,124",34,Kowloon Kowloon City District,15,D,3,,TRUE,FALSE,7
